label,rq,a,b,median_dbar_norm,share_a_better,share_sig,median_p,t_panel,n_countries,median_q,share_sig_fdr
RQ3 arma/L: aci_cqr vs native,RQ3,arma/L/42/aci_cqr,arma/L/42/native,-0.07319614712503603,0.7,0.5,0.07324720442845056,-5.0975636273257985,10,0.1444535368939741,0.5
RQ3 arma/L: agaci_cqr vs native,RQ3,arma/L/42/agaci_cqr,arma/L/42/native,-0.07579689867500808,0.7,0.5,0.0840408770636315,-5.299576332522571,10,0.16316631594136993,0.5
RQ3 arma/L: cqr_rolling vs native,RQ3,arma/L/42/cqr_rolling,arma/L/42/native,-0.06770158114003474,0.7,0.5,0.0629269277755502,-4.63946859058304,10,0.13402161131788184,0.5
RQ3 arma/L: cqr_static vs native,RQ3,arma/L/42/cqr_static,arma/L/42/native,0.150688955769213,0.1,0.9,5.923357444492794e-05,22.116551593277936,10,0.0003914430395857936,0.9
RQ3 arma/L: decay_ocp_cqr vs native,RQ3,arma/L/42/decay_ocp_cqr,arma/L/42/native,0.03848705071588845,0.3,0.8,0.00028936018656700035,6.613443632716823,10,0.0015706999409012593,0.7
RQ3 arma/L: dtaci_cqr vs native,RQ3,arma/L/42/dtaci_cqr,arma/L/42/native,-0.07099837653663693,0.7,0.5,0.23496412467477523,-5.986722225351011,10,0.3171419299048854,0.5
RQ3 arma/L: mondrian_cqr vs native,RQ3,arma/L/42/mondrian_cqr,arma/L/42/native,0.037407395564411,0.4,0.4,0.13725347035404734,-1.15617351494758,10,0.2649172181639501,0.4
RQ3 arma/L: pid_cqr vs native,RQ3,arma/L/42/pid_cqr,arma/L/42/native,-0.06550382901728527,0.8,0.5,0.0804221070544675,-4.878319940996317,10,0.15584904243630285,0.5
RQ3 arma/L: pid_local_cqr vs native,RQ3,arma/L/42/pid_local_cqr,arma/L/42/native,-0.032856940114262524,0.7,0.3,0.30580912848104047,-2.9785313748544393,10,0.4679523676056172,0.3
RQ3 arma/L: pid_tan_cqr vs native,RQ3,arma/L/42/pid_tan_cqr,arma/L/42/native,0.03561022624689625,0.5,0.8,0.008005166449904788,-0.8012454778428428,10,0.029118518243912286,0.7
RQ3 arma/L: saocp_cqr vs native,RQ3,arma/L/42/saocp_cqr,arma/L/42/native,0.04983225935944556,0.1,0.5,0.07721175999969399,3.719824643864477,10,0.1666841744770523,0.5
RQ3 arma/L: sfogd_cqr vs native,RQ3,arma/L/42/sfogd_cqr,arma/L/42/native,0.003020140014654527,0.4,0.3,0.3392078410299245,-1.6686802413909654,10,0.48065369319772755,0.2
RQ3 arma/L: spci_cqr vs native,RQ3,arma/L/42/spci_cqr,arma/L/42/native,-0.05120386623848957,0.7,0.6,0.03870120116634279,-3.326699106723464,10,0.10202048773499378,0.5
