label,rq,a,b,median_dbar_norm,share_a_better,share_sig,median_p,t_panel,n_countries,median_q,share_sig_fdr
XM tirex2/ZS/cqr_static vs tirex2_cov/ZS/native,XM,tirex2/ZS/42/cqr_static,tirex2_cov/ZS/42/native,-6.135208681613998e-05,0.5,0.0,0.44969909438218103,0.7276867013863906,10,0.6934789259609309,0.0
XM tirex2/ZS/cqr_static vs lgbm/G/decay_ocp_cqr,XM,tirex2/ZS/42/cqr_static,lgbm/G/42/decay_ocp_cqr,-0.018493778773812957,0.9,0.2,0.6444574476675111,-2.0418578471561033,10,0.8071353306931519,0.2
XM tirex2/ZS/cqr_static vs tirex/ZS/native,XM,tirex2/ZS/42/cqr_static,tirex/ZS/42/native,-0.015393771148562635,0.7,0.2,0.384727508207394,-0.9394056071850331,10,0.639148019560906,0.1
XM tirex2/ZS/cqr_static vs lstm_const/G/agaci_cqr,XM,tirex2/ZS/42/cqr_static,lstm_const/G/43/agaci_cqr,-0.026786353585324423,0.9,0.2,0.39652576597872136,-1.9292521631839537,10,0.6459448893946681,0.1
XM tirex2/ZS/cqr_static vs lgbm_const/G/cqr_rolling,XM,tirex2/ZS/42/cqr_static,lgbm_const/G/42/cqr_rolling,-0.05373317228895791,1.0,0.3,0.22587848943143152,-2.546043595532387,10,0.49519149471880297,0.1
XM tirex2/ZS/cqr_static vs xlstm/L/native,XM,tirex2/ZS/42/cqr_static,xlstm/L/44/native,-0.057485497254650145,0.9,0.2,0.1841739231706946,-2.5899474390276644,10,0.4435992950101924,0.2
XM tirex2/ZS/cqr_static vs rw/L/aci_cqr,XM,tirex2/ZS/42/cqr_static,rw/L/42/aci_cqr,-0.04047755247760558,0.9,0.4,0.2872290502075753,-2.0147914876516455,10,0.5684980328891187,0.1
XM tirex2/ZS/cqr_static vs xlstm_const/L/spci_cqr,XM,tirex2/ZS/42/cqr_static,xlstm_const/L/42/spci_cqr,-0.11564190867716709,0.8,0.8,0.03759586870410625,-3.5488392200346968,10,0.18507611910300276,0.4
XM tirex2/ZS/cqr_static vs lstm/L/pid_cqr,XM,tirex2/ZS/42/cqr_static,lstm/L/42/pid_cqr,-0.07426179381678472,0.9,0.6,0.07278202950023371,-3.085616290972722,10,0.25291308114924477,0.2
XM tirex2/ZS/cqr_static vs arma_monthly/L/dtaci_cqr,XM,tirex2/ZS/42/cqr_static,arma_monthly/L/42/dtaci_cqr,-0.06656813174115879,0.9,0.5,0.09731365579752638,-2.5853824780431895,10,0.29784108883365323,0.1
XM tirex2/ZS/cqr_static vs arma/L/dtaci_cqr,XM,tirex2/ZS/42/cqr_static,arma/L/42/dtaci_cqr,-0.07356152832373991,0.9,0.6,0.07329230931192443,-2.4996007450690705,10,0.25450979782570926,0.1
XM tirex2_cov/ZS/native vs lgbm/G/decay_ocp_cqr,XM,tirex2_cov/ZS/42/native,lgbm/G/42/decay_ocp_cqr,-0.027438556385871428,0.8,0.3,0.45516219474322883,-3.087741288168578,10,0.686719441690621,0.2
