label,rq,country,n,dbar,dbar_norm,t_hln,p_hln,q_hln
XM tirex2/ZS/cqr_static vs tirex2_cov/ZS/native,XM,AT,127,-0.0010381928072200881,-0.005990431996328572,-1.3041597939471248,0.1945564988775661,0.45370465868246185
XM tirex2/ZS/cqr_static vs tirex2_cov/ZS/native,XM,BE,127,-0.0009801959428261753,-0.00451143342341317,-0.7596791749955064,0.44886538936300324,0.6934789259609309
XM tirex2/ZS/cqr_static vs tirex2_cov/ZS/native,XM,ES,127,-0.002397159394316795,-0.006031915957913451,-0.5943646658948776,0.5533339661886014,0.7501472227535845
XM tirex2/ZS/cqr_static vs tirex2_cov/ZS/native,XM,FI,127,-0.000754241377819287,-0.004265273311858212,-0.27949089046494086,0.7803263947956283,0.8729074924832453
XM tirex2/ZS/cqr_static vs tirex2_cov/ZS/native,XM,FR,127,0.0014382597358207694,0.00720963499487822,0.32719244752,0.7440652862080999,0.8555454510406724
XM tirex2/ZS/cqr_static vs tirex2_cov/ZS/native,XM,GR,127,-0.0364802292763717,-0.02065698147019914,-1.4640277861865423,0.14567679641224185,0.3876882485164501
XM tirex2/ZS/cqr_static vs tirex2_cov/ZS/native,XM,IE,127,0.014201452627895485,0.03440891334630755,1.4517171423719442,0.1490656762956728,0.39353338542057614
XM tirex2/ZS/cqr_static vs tirex2_cov/ZS/native,XM,IT,127,0.004262053831355744,0.006355209702131463,0.7568832447827659,0.4505327994013588,0.6934789259609309
XM tirex2/ZS/cqr_static vs tirex2_cov/ZS/native,XM,NL,127,0.0006283657628250734,0.004142569138225932,0.42011417653062705,0.6751175954883111,0.8205849226929748
XM tirex2/ZS/cqr_static vs tirex2_cov/ZS/native,XM,PT,127,0.03494639752418043,0.04721632058013466,1.2350451277173977,0.21911177343271016,0.4792014379808381
XM tirex2/ZS/cqr_static vs lgbm/G/decay_ocp_cqr,XM,AT,127,0.002948915997531291,0.01701541430767372,0.43077901242215355,0.6673650797546955,0.8187006554611506
XM tirex2/ZS/cqr_static vs lgbm/G/decay_ocp_cqr,XM,BE,127,-0.006633612219311981,-0.03053175245541009,-1.0399166031057998,0.3003700334627586,0.5784877385151398
XM tirex2/ZS/cqr_static vs lgbm/G/decay_ocp_cqr,XM,ES,127,-0.014844995957660317,-0.037354115134964755,-1.1265031037227582,0.2620935340247159,0.5422624841890674
XM tirex2/ZS/cqr_static vs lgbm/G/decay_ocp_cqr,XM,FI,127,-0.000508399343204191,-0.0028750241157607685,-0.11972520063785824,0.9048915249912055,0.946751562528015
XM tirex2/ZS/cqr_static vs lgbm/G/decay_ocp_cqr,XM,FR,127,-0.0024484236182895393,-0.012273332946105898,-0.37861335816461866,0.705612190232138,0.8377670734242095
XM tirex2/ZS/cqr_static vs lgbm/G/decay_ocp_cqr,XM,GR,127,-0.2537455663840577,-0.14368378617443803,-3.3088862519247266,0.0012214438975488573,0.02760561824282526
XM tirex2/ZS/cqr_static vs lgbm/G/decay_ocp_cqr,XM,IE,127,-0.0570401393670829,-0.138203412296571,-2.7493929766987315,0.006848956208045154,0.067664141426835
XM tirex2/ZS/cqr_static vs lgbm/G/decay_ocp_cqr,XM,IT,127,-0.005585380383763751,-0.008328440937053793,-0.29977042243085567,0.7648462365671769,0.8635970822309795
XM tirex2/ZS/cqr_static vs lgbm/G/decay_ocp_cqr,XM,NL,127,-0.0037487781316825307,-0.024714224601520014,-0.4948755420188309,0.6215498155803267,0.7955700059251531
XM tirex2/ZS/cqr_static vs lgbm/G/decay_ocp_cqr,XM,PT,127,-0.0034906867095542016,-0.004716291074325605,-0.08467917290634608,0.9326508526797608,0.967845224478997
XM tirex2/ZS/cqr_static vs tirex/ZS/native,XM,AT,127,-0.012000276370311359,-0.06924228239067298,-3.232635170628866,0.0015656910578569772,0.02952445994816014
XM tirex2/ZS/cqr_static vs tirex/ZS/native,XM,BE,127,-0.0038821501196838566,-0.017867919096003722,-0.8018569904197204,0.4241453779436073,0.668926088878552
XM tirex2/ZS/cqr_static vs tirex/ZS/native,XM,ES,127,-0.012905285180084405,-0.03247326640177842,-1.2505769561559725,0.213406247760642,0.4746760561539669
XM tirex2/ZS/cqr_static vs tirex/ZS/native,XM,FI,127,-0.0038502722837793894,-0.02177348538325134,-0.9472793792113625,0.3453096384711807,0.60936995024326
XM tirex2/ZS/cqr_static vs tirex/ZS/native,XM,FR,127,-0.002205050099553167,-0.011053362593179981,-0.3121501623213821,0.7554423772247505,0.8592832945466601
XM tirex2/ZS/cqr_static vs tirex/ZS/native,XM,GR,127,-0.039493837506752186,-0.022363441396801905,-0.7401950451579821,0.46055866714770577,0.6944012443840777
XM tirex2/ZS/cqr_static vs tirex/ZS/native,XM,IE,127,-0.005332264201847461,-0.012919623201121546,-0.4810079527251374,0.631345066907089,0.798561483268268
XM tirex2/ZS/cqr_static vs tirex/ZS/native,XM,IT,127,0.003355720527528725,0.005003763091234454,0.1621533340847502,0.8714448565495987,0.9291657598105576
XM tirex2/ZS/cqr_static vs tirex/ZS/native,XM,NL,127,0.004486413706592682,0.029577166774152345,1.0790973223684805,0.28260572421827823,0.564507606879257
XM tirex2/ZS/cqr_static vs tirex/ZS/native,XM,PT,127,0.05233603298194766,0.0707115779089477,1.9783440216378396,0.05007148277274265,0.21459206902603994
XM tirex2/ZS/cqr_static vs lstm_const/G/agaci_cqr,XM,AT,127,-0.0026661436559514296,-0.01538380169111891,-0.3571999640306751,0.7215396782342944,0.8414727914158606
XM tirex2/ZS/cqr_static vs lstm_const/G/agaci_cqr,XM,BE,127,-0.012030359362286585,-0.055370730433961866,-1.3399944577240501,0.18265868344304637,0.44204799664995004
XM tirex2/ZS/cqr_static vs lstm_const/G/agaci_cqr,XM,ES,127,-0.008634926899164194,-0.021727864021878776,-0.5399823174511217,0.5901623246937997,0.7743680602344091
XM tirex2/ZS/cqr_static vs lstm_const/G/agaci_cqr,XM,FI,127,-0.0032600107227131686,-0.018435526266356098,-0.6577523457300867,0.5118971507894385,0.7292188844010793
