model,regime,seed,cp_method,median_sharpe,active_share,median_cap_ratio
arma,L,42,aci_cqr,-0.30738931174713596,0.007874015748031496,0.6617346487342086
arma,L,42,agaci_cqr,-0.307389311747136,0.006299212598425197,0.6384299932999281
arma,L,42,cqr_rolling,-0.30738931174713596,0.004724409448818898,0.6759831558152696
arma,L,42,cqr_static,-0.30738931174713585,0.0015748031496062992,
arma,L,42,decay_ocp_cqr,,0.0,
arma,L,42,dtaci_cqr,-0.30738931174713596,0.004724409448818898,0.6705409029029377
arma,L,42,mondrian_cqr,-0.2912375379581899,0.003937007874015748,0.822658160063999
arma,L,42,native,-0.3073893117471359,0.0015748031496062992,
arma,L,42,pid_cqr,-0.3073893117471359,0.010236220472440945,0.6434905613850337
arma,L,42,pid_local_cqr,-0.06998739219666898,0.012598425196850394,0.6599309091113323
arma,L,42,pid_tan_cqr,0.12549084676414177,0.03385826771653543,0.7874897882156462
arma,L,42,saocp_cqr,-0.307389311747136,0.0007874015748031496,
arma,L,42,sfogd_cqr,0.04634727923852763,0.026771653543307083,0.6844957843575817
arma,L,42,spci_cqr,-0.2827522373577887,0.02125984251968504,0.6103866569856189
arma_monthly,L,42,aci_cqr,-0.307389311747136,0.007874015748031496,0.6556433916658915
arma_monthly,L,42,agaci_cqr,-0.307389311747136,0.004724409448818898,0.6462491144165121
arma_monthly,L,42,cqr_rolling,-0.3073893117471361,0.004724409448818898,0.661928504376794
arma_monthly,L,42,cqr_static,,0.0,
arma_monthly,L,42,decay_ocp_cqr,,0.0,
arma_monthly,L,42,dtaci_cqr,-0.30738931174713596,0.004724409448818898,0.6592514126013027
arma_monthly,L,42,mondrian_cqr,-0.3073893117471359,0.0031496062992125984,0.8783673755575512
arma_monthly,L,42,native,-0.30738931174713596,0.002362204724409449,
arma_monthly,L,42,pid_cqr,-0.33002827225669007,0.011811023622047244,0.6396308490907259
arma_monthly,L,42,pid_local_cqr,0.10275216245276138,0.013385826771653541,0.6374236138607454
arma_monthly,L,42,pid_tan_cqr,-0.025407756708490173,0.03700787401574803,0.7415836180722539
arma_monthly,L,42,saocp_cqr,-0.30738931174713596,0.0007874015748031496,
arma_monthly,L,42,sfogd_cqr,0.24377975571169186,0.02125984251968504,0.6616324619049108
arma_monthly,L,42,spci_cqr,-0.31975361138310526,0.01653543307086614,0.6115602685870547
lgbm,G,42,aci_cqr,0.307389311747136,0.0015748031496062992,0.679707358442748
lgbm,G,42,agaci_cqr,0.3073893117471359,0.0007874015748031496,0.6695995050547425
lgbm,G,42,cqr_rolling,0.3073893117471359,0.0007874015748031496,0.6525473454847434
lgbm,G,42,cqr_static,,0.0,
lgbm,G,42,decay_ocp_cqr,,0.0,0.5984115083846495
lgbm,G,42,dtaci_cqr,0.36139688947764476,0.002362204724409449,0.6828059571397609
lgbm,G,42,mondrian_cqr,0.41702015153044286,0.0015748031496062992,
lgbm,G,42,native,,0.0,
lgbm,G,42,pid_cqr,0.28763527546651413,0.014173228346456693,0.6182827747746666
lgbm,G,42,pid_local_cqr,-0.3073893117471359,0.01732283464566929,0.6550397921626667
