country,model,regime,seed,cp_method,mcs_pval,in_mcs
AT,xlstm,GI,42,native,0.018,False
AT,arma,L,42,dtaci_cqr,0.366,True
AT,arma_monthly,L,42,dtaci_cqr,0.366,True
AT,lgbm,G,42,decay_ocp_cqr,0.366,True
AT,lgbm,GI,42,cqr_rolling,0.366,True
AT,lgbm,L,42,native,0.366,True
AT,lgbm_const,G,42,cqr_rolling,0.366,True
AT,lgbm_const,L,42,aci_cqr,0.366,True
AT,lstm,G,43,pid_cqr,0.366,True
AT,lstm,GF,43,pid_cqr,0.366,True
AT,lstm,GI,44,pid_local_cqr,0.366,True
AT,lstm,L,42,pid_cqr,0.366,True
AT,lstm_const,G,43,agaci_cqr,0.366,True
AT,lstm_const,GF,43,agaci_cqr,0.366,True
AT,lstm_const,L,44,aci_cqr,0.366,True
AT,rw,L,42,aci_cqr,0.366,True
AT,rw,L,42,native,0.366,True
AT,tirex,ZS,42,native,0.366,True
AT,tirex2,ZS,42,cqr_static,0.366,True
AT,tirex2_cov,ZS,42,native,0.366,True
AT,xlstm,G,43,pid_cqr,0.366,True
AT,xlstm,GF,43,cqr_rolling,0.366,True
AT,xlstm,L,44,native,0.366,True
AT,xlstm_const,G,44,pid_cqr,0.366,True
AT,xlstm_const,GF,43,dtaci_cqr,0.366,True
AT,xlstm_const,L,42,spci_cqr,0.366,True
BE,xlstm,GI,42,native,0.026,False
BE,xlstm,GF,43,cqr_rolling,0.026,False
BE,xlstm,G,43,pid_cqr,0.034,False
BE,rw,L,42,native,0.071,False
BE,arma,L,42,dtaci_cqr,0.326,True
BE,arma_monthly,L,42,dtaci_cqr,0.326,True
BE,lgbm,G,42,decay_ocp_cqr,0.326,True
BE,lgbm,GI,42,cqr_rolling,0.326,True
BE,lgbm,L,42,native,0.326,True
BE,lgbm_const,G,42,cqr_rolling,0.326,True
BE,lgbm_const,L,42,aci_cqr,0.326,True
BE,lstm,G,43,pid_cqr,0.326,True
BE,lstm,GF,43,pid_cqr,0.326,True
BE,lstm,GI,44,pid_local_cqr,0.326,True
BE,lstm,L,42,pid_cqr,0.326,True
BE,lstm_const,G,43,agaci_cqr,0.326,True
BE,lstm_const,GF,43,agaci_cqr,0.326,True
BE,lstm_const,L,44,aci_cqr,0.326,True
BE,rw,L,42,aci_cqr,0.326,True
BE,tirex,ZS,42,native,0.326,True
BE,tirex2,ZS,42,cqr_static,0.326,True
BE,tirex2_cov,ZS,42,native,0.326,True
BE,xlstm,L,44,native,0.326,True
BE,xlstm_const,G,44,pid_cqr,0.326,True
BE,xlstm_const,GF,43,dtaci_cqr,0.326,True
BE,xlstm_const,L,42,spci_cqr,0.326,True
ES,xlstm,GI,42,native,0.0,False
ES,rw,L,42,native,0.023,False
ES,arma,L,42,dtaci_cqr,0.121,True
ES,arma_monthly,L,42,dtaci_cqr,0.121,True
ES,lgbm,G,42,decay_ocp_cqr,0.121,True
ES,lgbm,GI,42,cqr_rolling,0.121,True
ES,lgbm,L,42,native,0.121,True
ES,lgbm_const,G,42,cqr_rolling,0.121,True
ES,lgbm_const,L,42,aci_cqr,0.121,True
ES,lstm,G,43,pid_cqr,0.121,True
ES,lstm,GF,43,pid_cqr,0.121,True
ES,lstm,GI,44,pid_local_cqr,0.121,True
ES,lstm,L,42,pid_cqr,0.121,True
ES,lstm_const,G,43,agaci_cqr,0.121,True
ES,lstm_const,GF,43,agaci_cqr,0.121,True
ES,lstm_const,L,44,aci_cqr,0.121,True
ES,rw,L,42,aci_cqr,0.121,True
ES,tirex,ZS,42,native,0.121,True
ES,tirex2,ZS,42,cqr_static,0.121,True
ES,tirex2_cov,ZS,42,native,0.121,True
ES,xlstm,G,43,pid_cqr,0.121,True
ES,xlstm,GF,43,cqr_rolling,0.121,True
ES,xlstm,L,44,native,0.121,True
ES,xlstm_const,G,44,pid_cqr,0.121,True
ES,xlstm_const,GF,43,dtaci_cqr,0.121,True
ES,xlstm_const,L,42,spci_cqr,0.121,True
FI,arma,L,42,dtaci_cqr,0.103,True
FI,arma_monthly,L,42,dtaci_cqr,0.103,True
FI,lgbm,G,42,decay_ocp_cqr,0.103,True
FI,lgbm,GI,42,cqr_rolling,0.103,True
FI,lgbm,L,42,native,0.103,True
FI,lgbm_const,G,42,cqr_rolling,0.103,True
FI,lgbm_const,L,42,aci_cqr,0.103,True
FI,lstm,G,43,pid_cqr,0.103,True
FI,lstm,GF,43,pid_cqr,0.103,True
FI,lstm,GI,44,pid_local_cqr,0.103,True
FI,lstm,L,42,pid_cqr,0.103,True
FI,lstm_const,G,43,agaci_cqr,0.103,True
FI,lstm_const,GF,43,agaci_cqr,0.103,True
FI,lstm_const,L,44,aci_cqr,0.103,True
FI,rw,L,42,aci_cqr,0.103,True
FI,rw,L,42,native,0.103,True
FI,tirex,ZS,42,native,0.103,True
FI,tirex2,ZS,42,cqr_static,0.103,True
FI,tirex2_cov,ZS,42,native,0.103,True
