model,regime,seed,cp_method,median_skill,mean_skill,mean_coverage,mean_abs_gap,median_mae_ratio,n_countries,valid_country_share,validity_flag,seed_span
tirex2,ZS,42,cqr_static,0.1461124355856327,0.161738669457783,0.7496062992125985,0.06803149606299215,0.9964555831295029,10,0.8,True,0.0
tirex2,ZS,42,decay_ocp_cqr,0.14423282852769054,0.16860639210655032,0.7866141732283465,0.02787401574803151,0.9964555831295029,10,1.0,True,0.0
tirex2,ZS,42,native,0.14197463932956178,0.1616071705742787,0.8551181102362205,0.05511811023622043,0.9964555831295029,10,0.7,True,0.0
tirex2_cov,ZS,42,native,0.1408615028757616,0.1675263306179795,0.8385826771653543,0.04110236220472435,1.0008348361219246,10,0.8,True,0.0
tirex2_cov,ZS,42,cqr_static,0.14024336785349745,0.16466125253499436,0.7866141732283465,0.054330708661417315,1.0008348361219246,10,0.7,True,0.0
lgbm,G,42,decay_ocp_cqr,0.1393542665117644,0.12317217291493543,0.8236220472440945,0.050393700787401574,1.0472634168958308,10,0.7,True,0.0
tirex2_cov,ZS,42,decay_ocp_cqr,0.13845182155745134,0.16847678205385005,0.794488188976378,0.024409448818897617,1.0008348361219246,10,1.0,True,0.0
tirex,ZS,42,native,0.132658760714764,0.1534985821889355,0.8133858267716535,0.021574803149606293,1.020220385317009,10,1.0,True,0.0
tirex2,ZS,42,cqr_rolling,0.13160299955558374,0.14758225990606344,0.794488188976378,0.014330708661417325,0.9964555831295029,10,1.0,True,0.0
lgbm,G,42,cqr_rolling,0.12900048420830063,0.10461241180234464,0.8251968503937007,0.027716535433070823,1.0472634168958308,10,0.9,True,0.0
lgbm,G,42,agaci_cqr,0.1276267739315468,0.1046795703143432,0.8251968503937007,0.03181102362204722,1.0472634168958308,10,1.0,True,0.0
tirex2,ZS,42,agaci_cqr,0.12608045112271066,0.14741634358983785,0.7968503937007874,0.017322834645669295,0.9964555831295029,10,1.0,True,0.0
lgbm,G,42,aci_cqr,0.12246176651264051,0.09983914437411712,0.8299212598425196,0.03401574803149604,1.0472634168958308,10,1.0,True,0.0
tirex,ZS,42,decay_ocp_cqr,0.12184838699756845,0.15035468051770293,0.7818897637795276,0.021889763779527595,1.020220385317009,10,1.0,True,0.0
tirex2_cov,ZS,42,cqr_rolling,0.12177902144987118,0.1441168565337756,0.8,0.015748031496062975,1.0008348361219246,10,1.0,True,0.0
tirex2,ZS,42,aci_cqr,0.12084150259166371,0.1445337247564824,0.7992125984251969,0.01811023622047244,0.9964555831295029,10,1.0,True,0.0
lgbm,G,42,dtaci_cqr,0.11994331169006911,0.10473325616999123,0.8251968503937007,0.028661417322834604,1.0472634168958308,10,1.0,True,0.0
tirex2,ZS,42,dtaci_cqr,0.11950487977413982,0.14304530079835384,0.805511811023622,0.014015748031496045,0.9964555831295029,10,1.0,True,0.0
tirex2_cov,ZS,42,agaci_cqr,0.11931458216658836,0.14501963254703795,0.8007874015748031,0.014960629921259827,1.0008348361219246,10,1.0,True,0.0
tirex2_cov,ZS,42,dtaci_cqr,0.11663559956226999,0.14102036248096392,0.8094488188976378,0.017007874015748013,1.0008348361219246,10,1.0,True,0.0
tirex2,ZS,42,pid_cqr,0.11599644470832182,0.1335207949617488,0.8,0.008503937007874007,0.9964555831295029,10,1.0,True,0.0
tirex2_cov,ZS,42,aci_cqr,0.11318974804262721,0.14110120982209984,0.8031496062992126,0.0179527559055118,1.0008348361219246,10,1.0,True,0.0
lstm_const,G,43,agaci_cqr,0.1107351695230922,0.1258803702370576,0.7976377952755905,0.021259842519685036,1.0036248741044753,10,1.0,True,0.027986791619180607
tirex,ZS,42,cqr_rolling,0.10951703358573434,0.1331256409061417,0.8094488188976378,0.014803149606299183,1.020220385317009,10,1.0,True,0.0
tirex,ZS,42,agaci_cqr,0.10921931775624022,0.13303134443997047,0.8118110236220473,0.014645669291338547,1.020220385317009,10,1.0,True,0.0
lstm_const,G,43,cqr_rolling,0.10820367870649672,0.11372300393952661,0.8236220472440945,0.04125984251968499,1.0036248741044753,10,0.9,True,0.01956776697305007
lgbm,G,42,pid_cqr,0.10597383445894931,0.10007270826233856,0.8047244094488188,0.010708661417322806,1.0472634168958308,10,1.0,True,0.0
tirex,ZS,42,aci_cqr,0.10583100998158296,0.12659806016253347,0.815748031496063,0.016692913385826725,1.020220385317009,10,1.0,True,0.0
tirex2_cov,ZS,42,pid_cqr,0.1035234807143322,0.13251909828811925,0.7984251968503937,0.0062992125984251855,1.0008348361219246,10,1.0,True,0.0
lstm_const,GF,43,agaci_cqr,0.10266567167500545,0.12523498628508684,0.8007874015748031,0.023779527559055103,1.0172830632198389,10,1.0,True,0.015956814017792365
lstm_const,G,43,aci_cqr,0.10033617389108879,0.12119297350253275,0.8062992125984252,0.026456692913385805,1.0036248741044753,10,1.0,True,0.013079163576245834
lstm_const,GF,43,cqr_rolling,0.10001846611693033,0.11274811920936192,0.8251968503937007,0.03968503937007869,1.0172830632198389,10,0.9,True,0.007759699300478318
tirex,ZS,42,dtaci_cqr,0.09907935088301828,0.1253617104216443,0.8149606299212598,0.016850393700787357,1.020220385317009,10,1.0,True,0.0
lgbm_const,G,42,cqr_rolling,0.098856746518805,0.09229647525770748,0.8291338582677165,0.03732283464566927,1.0472634168958308,10,1.0,True,0.0
lstm_const,G,42,cqr_rolling,0.09874121156309629,0.11300212043271687,0.831496062992126,0.047559055118110205,1.0975025838268582,10,0.9,True,0.01956776697305007
lgbm_const,G,42,agaci_cqr,0.09827614381118,0.0976737367902111,0.8094488188976378,0.026456692913385805,1.0472634168958308,10,1.0,True,0.0
lstm_const,G,42,agaci_cqr,0.09808810194251494,0.12107382184986919,0.8070866141732284,0.02188976377952756,1.0975025838268582,10,1.0,True,0.027986791619180607
lgbm_const,G,42,aci_cqr,0.09789063546781152,0.09688623670381065,0.8173228346456692,0.028661417322834604,1.0472634168958308,10,1.0,True,0.0
lstm_const,G,43,dtaci_cqr,0.0973437126558323,0.1224340225990463,0.8173228346456692,0.026456692913385794,1.0036248741044753,10,1.0,True,0.010508110309101093
lstm_const,G,44,pid_cqr,0.09705725834481016,0.12589725298504537,0.8110236220472441,0.011968503937007834,1.1163553998691171,10,1.0,True,0.005311060839058301
tirex,ZS,42,spci_cqr,0.09696730495667805,0.08565519446578704,0.7496062992125985,0.05039370078740163,1.020220385317009,10,0.9,True,0.0
lstm_const,GF,44,pid_cqr,0.09671329153071312,0.12635285218470496,0.8102362204724409,0.011181102362204686,1.1152851783771938,10,0.8,True,0.011178856575791651
lgbm,G,42,native,0.09589196720066323,0.09842818853380234,0.8685039370078741,0.08236220472440942,1.0472634168958308,10,0.5,False,0.0
lgbm_const,G,42,dtaci_cqr,0.09576451333498459,0.09923179059893501,0.8283464566929133,0.029291338582677108,1.0472634168958308,10,1.0,True,0.0
lstm_const,GF,42,cqr_rolling,0.09572404284471497,0.11241453349448863,0.8346456692913385,0.042834645669291314,1.11059923106435,10,0.9,True,0.007759699300478318
lstm_const,GF,43,aci_cqr,0.09518769330902055,0.1214453755808158,0.8094488188976378,0.0280314960629921,1.0172830632198389,10,1.0,True,0.008947668093711392
xlstm,L,44,native,0.09388465206218188,0.08662053183175464,0.8165354330708661,0.04078740157480314,1.0780731998877844,10,0.7,True,0.10224827486267452
lstm_const,G,43,pid_cqr,0.09357578983540382,0.11256548592954937,0.8118110236220473,0.013700787401574765,1.0036248741044753,10,0.9,True,0.005311060839058301
lstm_const,G,42,aci_cqr,0.09296290323059148,0.11892331301229286,0.8118110236220473,0.029448818897637764,1.0975025838268582,10,1.0,True,0.013079163576245834
lstm_const,GF,44,aci_cqr,0.09268718909031565,0.1278791321831658,0.8039370078740158,0.029763779527559042,1.1152851783771938,10,1.0,True,0.008947668093711392
lstm_const,GF,44,cqr_rolling,0.09225876681645201,0.12425947146124292,0.8267716535433071,0.0343307086614173,1.1152851783771938,10,0.9,True,0.007759699300478318
lstm_const,GF,42,agaci_cqr,0.092172293124274,0.12044804703081732,0.805511811023622,0.022834645669291342,1.11059923106435,10,1.0,True,0.015956814017792365
lstm_const,G,42,pid_cqr,0.09174619750575186,0.11239966404490956,0.8173228346456692,0.01732283464566925,1.0975025838268582,10,1.0,True,0.005311060839058301
lstm_const,GF,43,dtaci_cqr,0.09149941729917899,0.1228990261802346,0.8204724409448818,0.02708661417322831,1.0172830632198389,10,1.0,True,0.0061069774323150305
lgbm,GI,42,cqr_rolling,0.09057471474737866,0.0841514788691195,0.8118110236220473,0.02503937007874015,1.0699379878423252,10,1.0,True,0.0
lgbm,L,42,native,0.09036243044682302,0.10756299845528419,0.8259842519685039,0.048661417322834646,1.083689554279466,10,0.7,True,0.0
lstm_const,GF,43,pid_cqr,0.09015547898771437,0.11148806320280132,0.8118110236220473,0.013700787401574765,1.0172830632198389,10,1.0,True,0.011178856575791651
lstm_const,L,44,aci_cqr,0.08979962986408613,0.09396774508435615,0.8086614173228346,0.022519685039370074,1.0237310741933918,10,1.0,True,0.029313843393922123
lstm_const,L,42,cqr_rolling,0.08934365207174533,0.08374995312123598,0.8275590551181102,0.02850393700787396,1.0670996780076687,10,0.9,True,0.04118729506073421
lstm_const,G,42,dtaci_cqr,0.08866612288324616,0.12084846339362403,0.8244094488188976,0.032598425196850356,1.0975025838268582,10,1.0,True,0.010508110309101093
lstm_const,G,44,cqr_rolling,0.08863591173344665,0.12164851974011122,0.8251968503937007,0.035905511811023604,1.1163553998691171,10,0.9,True,0.01956776697305007
lgbm,GI,42,agaci_cqr,0.08822043902981136,0.08261955078074142,0.8102362204724409,0.022519685039370064,1.0699379878423252,10,1.0,True,0.0
lgbm,GI,42,aci_cqr,0.08814427476928366,0.08008188990039966,0.8173228346456692,0.026456692913385805,1.0699379878423252,10,1.0,True,0.0
lstm_const,L,42,aci_cqr,0.08793140599371424,0.08536489665236993,0.8110236220472441,0.017007874015748003,1.0670996780076687,10,1.0,True,0.029313843393922123
lstm_const,GF,44,dtaci_cqr,0.08749804353347873,0.13292533087119593,0.8181102362204724,0.02409448818897635,1.1152851783771938,10,1.0,True,0.0061069774323150305
lstm_const,G,44,aci_cqr,0.08725701031484295,0.1258128475047074,0.8086614173228346,0.028188976377952746,1.1163553998691171,10,1.0,True,0.013079163576245834
lstm_const,G,44,dtaci_cqr,0.08683560234673121,0.13156231552222059,0.8181102362204724,0.02409448818897635,1.1163553998691171,10,1.0,True,0.010508110309101093
lgbm_const,G,42,pid_cqr,0.08678144697704682,0.09683613424699161,0.8141732283464567,0.01606299212598421,1.0472634168958308,10,1.0,True,0.0
lstm_const,GF,44,agaci_cqr,0.08670885765721309,0.13251207975622575,0.8015748031496063,0.0179527559055118,1.1152851783771938,10,1.0,True,0.015956814017792365
tirex2_cov,ZS,42,spci_cqr,0.08645241373814405,0.09774945706762865,0.758267716535433,0.04173228346456699,1.0008348361219246,10,0.9,True,0.0
lgbm,GI,42,dtaci_cqr,0.08635746437079594,0.08056784671409659,0.8173228346456692,0.02299212598425192,1.0699379878423252,10,1.0,True,0.0
