model,regime,seed,cp_method,cov_stressed,cov_all,stress_drop
arma,L,42,aci_cqr,0.85,0.8062992125984252,0.04370078740157479
arma,L,42,agaci_cqr,0.8342105263157895,0.7937007874015748,0.04050973891421472
arma,L,42,cqr_rolling,0.8552631578947368,0.8267716535433071,0.028491504351429775
arma,L,42,cqr_static,0.9184210526315789,0.931496062992126,-0.013075010360547035
arma,L,42,decay_ocp_cqr,0.9078947368421053,0.9220472440944882,-0.014152507252382929
arma,L,42,dtaci_cqr,0.8552631578947368,0.8125984251968504,0.0426647326978864
arma,L,42,mondrian_cqr,0.8842105263157894,0.8551181102362204,0.029092416079569028
arma,L,42,native,0.881578947368421,0.9039370078740158,-0.022358060505594746
arma,L,42,pid_cqr,0.8605263157894737,0.8149606299212598,0.04556568586821386
arma,L,42,pid_local_cqr,0.8657894736842106,0.8181102362204724,0.047679237463738144
arma,L,42,pid_tan_cqr,0.8421052631578947,0.8173228346456692,0.02478242851222545
arma,L,42,saocp_cqr,0.9315789473684211,0.9291338582677166,0.0024450891007045117
arma,L,42,sfogd_cqr,0.8526315789473684,0.8023622047244094,0.05026937422295896
arma,L,42,spci_cqr,0.8236842105263158,0.7559055118110236,0.06777869871529218
arma_monthly,L,42,aci_cqr,0.85,0.8023622047244094,0.04763779527559053
arma_monthly,L,42,agaci_cqr,0.8315789473684211,0.8,0.03157894736842104
arma_monthly,L,42,cqr_rolling,0.8552631578947368,0.8228346456692913,0.032428512225445516
arma_monthly,L,42,cqr_static,0.9052631578947369,0.9251968503937008,-0.01993369249896393
arma_monthly,L,42,decay_ocp_cqr,0.8921052631578947,0.9102362204724409,-0.01813095731454617
arma_monthly,L,42,dtaci_cqr,0.85,0.8094488188976378,0.04055118110236222
arma_monthly,L,42,mondrian_cqr,0.8868421052631579,0.8606299212598425,0.026212184003315375
arma_monthly,L,42,native,0.8763157894736842,0.9007874015748032,-0.024471612101119034
arma_monthly,L,42,pid_cqr,0.85,0.8133858267716535,0.03661417322834648
arma_monthly,L,42,pid_local_cqr,0.8605263157894737,0.8149606299212598,0.04556568586821386
arma_monthly,L,42,pid_tan_cqr,0.8368421052631579,0.8196850393700787,0.017157065893079193
arma_monthly,L,42,saocp_cqr,0.9289473684210526,0.925984251968504,0.002963116452548653
arma_monthly,L,42,sfogd_cqr,0.8447368421052631,0.8031496062992126,0.041587235806050504
arma_monthly,L,42,spci_cqr,0.8236842105263158,0.7677165354330708,0.05596767509324496
lgbm,G,42,aci_cqr,0.8868421052631579,0.8299212598425196,0.056920845420638244
lgbm,G,42,agaci_cqr,0.8710526315789474,0.8251968503937008,0.04585578118524658
lgbm,G,42,cqr_rolling,0.8657894736842106,0.8251968503937008,0.04059262329050972
lgbm,G,42,cqr_static,0.8710526315789474,0.8622047244094488,0.00884790716949857
lgbm,G,42,decay_ocp_cqr,0.8394736842105263,0.8236220472440945,0.01585163696643177
lgbm,G,42,dtaci_cqr,0.8894736842105263,0.8251968503937008,0.06427683381682547
lgbm,G,42,mondrian_cqr,0.8894736842105263,0.8653543307086614,0.024119353501864893
lgbm,G,42,native,0.8710526315789474,0.868503937007874,0.0025486945710734288
lgbm,G,42,pid_cqr,0.8657894736842106,0.8047244094488188,0.06106506423539171
lgbm,G,42,pid_local_cqr,0.8631578947368421,0.8094488188976378,0.05370907583920437
lgbm,G,42,pid_tan_cqr,0.8578947368421053,0.815748031496063,0.04214670534604226
lgbm,G,42,saocp_cqr,0.9263157894736842,0.9062992125984252,0.02001657687525904
lgbm,G,42,sfogd_cqr,0.8657894736842106,0.8007874015748031,0.06500207210940745
lgbm,G,42,spci_cqr,0.8315789473684211,0.7677165354330708,0.06386241193535025
lgbm,GI,42,aci_cqr,0.8578947368421053,0.8173228346456692,0.04057190219643603
lgbm,GI,42,agaci_cqr,0.85,0.8102362204724409,0.03976377952755905
lgbm,GI,42,cqr_rolling,0.8526315789473684,0.8118110236220473,0.04082055532532114
lgbm,GI,42,cqr_static,0.8447368421052631,0.8291338582677166,0.015602983837546547
lgbm,GI,42,decay_ocp_cqr,0.8342105263157895,0.8125984251968504,0.021612101118939075
lgbm,GI,42,dtaci_cqr,0.8605263157894737,0.8173228346456692,0.043203481143804456
lgbm,GI,42,mondrian_cqr,0.8736842105263158,0.8590551181102363,0.01462909241607957
lgbm,GI,42,native,0.8447368421052631,0.852755905511811,-0.0080190634065479
lgbm,GI,42,pid_cqr,0.8631578947368421,0.8062992125984252,0.05685868213841694
lgbm,GI,42,pid_local_cqr,0.8578947368421053,0.8039370078740158,0.05395772896808948
lgbm,GI,42,pid_tan_cqr,0.85,0.8133858267716535,0.03661417322834648
lgbm,GI,42,saocp_cqr,0.9157894736842105,0.8984251968503937,0.017364276833816805
lgbm,GI,42,sfogd_cqr,0.8631578947368421,0.8015748031496063,0.06158309158723585
lgbm,GI,42,spci_cqr,0.8184210526315789,0.7606299212598425,0.057791131371736415
lgbm,L,42,aci_cqr,0.85,0.8165354330708662,0.0334645669291338
lgbm,L,42,agaci_cqr,0.8421052631578947,0.8149606299212598,0.027144633236634852
lgbm,L,42,cqr_rolling,0.8552631578947368,0.8244094488188977,0.030853709075839175
lgbm,L,42,cqr_static,0.8631578947368421,0.8669291338582678,-0.003771239121425629
lgbm,L,42,decay_ocp_cqr,0.8473684210526315,0.8456692913385827,0.0016991297140488415
lgbm,L,42,dtaci_cqr,0.8578947368421053,0.8244094488188977,0.033485288023207604
lgbm,L,42,mondrian_cqr,0.8736842105263158,0.8724409448818897,0.001243265644426117
lgbm,L,42,native,0.8078947368421052,0.8259842519685039,-0.01808951512639867
lgbm,L,42,pid_cqr,0.8473684210526315,0.8118110236220473,0.03555739743058428
lgbm,L,42,pid_local_cqr,0.8605263157894737,0.8118110236220473,0.04871529216742643
lgbm,L,42,pid_tan_cqr,0.8421052631578947,0.8212598425196851,0.0208454206382096
lgbm,L,42,saocp_cqr,0.9026315789473685,0.8905511811023622,0.012080397845006252
lgbm,L,42,sfogd_cqr,0.8605263157894737,0.8031496062992126,0.05737670949026108
lgbm,L,42,spci_cqr,0.8184210526315789,0.7653543307086614,0.053066721922917504
lgbm_const,G,42,aci_cqr,0.8526315789473684,0.8173228346456692,0.03530874430169917
lgbm_const,G,42,agaci_cqr,0.8447368421052631,0.8094488188976378,0.03528802320762536
lgbm_const,G,42,cqr_rolling,0.8552631578947368,0.8291338582677166,0.026129299627020264
lgbm_const,G,42,cqr_static,0.8921052631578947,0.9031496062992126,-0.011044343141317858
lgbm_const,G,42,decay_ocp_cqr,0.8789473684210526,0.8763779527559055,0.0025694156651471234
lgbm_const,G,42,dtaci_cqr,0.8789473684210526,0.8283464566929134,0.050600911728139186
lgbm_const,G,42,mondrian_cqr,0.8973684210526316,0.8519685039370078,0.045399917115623745
lgbm_const,G,42,native,0.8473684210526315,0.8590551181102363,-0.011686697057604722
lgbm_const,G,42,pid_cqr,0.8473684210526315,0.8141732283464567,0.03319519270617488
lgbm_const,G,42,pid_local_cqr,0.8578947368421053,0.8133858267716535,0.04450891007045177
lgbm_const,G,42,pid_tan_cqr,0.8342105263157895,0.8196850393700787,0.014525486945710764
lgbm_const,G,42,saocp_cqr,0.9078947368421053,0.905511811023622,0.002382925818483317
lgbm_const,G,42,sfogd_cqr,0.8473684210526315,0.8039370078740158,0.04343141317861576
lgbm_const,G,42,spci_cqr,0.8157894736842105,0.7645669291338583,0.051222544550352245
lgbm_const,L,42,aci_cqr,0.8421052631578947,0.8188976377952756,0.02320762536261911
lgbm_const,L,42,agaci_cqr,0.8368421052631579,0.8086614173228347,0.028180687940323246
lgbm_const,L,42,cqr_rolling,0.8605263157894737,0.8354330708661417,0.02509324492333198
lgbm_const,L,42,cqr_static,0.8973684210526316,0.9204724409448819,-0.023104019892250305
lgbm_const,L,42,decay_ocp_cqr,0.8657894736842106,0.8834645669291339,-0.017675093244923334
lgbm_const,L,42,dtaci_cqr,0.868421052631579,0.8267716535433071,0.04164939908827192
lgbm_const,L,42,mondrian_cqr,0.9026315789473685,0.8637795275590551,0.03885205138831338
lgbm_const,L,42,native,0.8263157894736842,0.837007874015748,-0.010692084542063829
lgbm_const,L,42,pid_cqr,0.85,0.8188976377952756,0.0311023622047244
lgbm_const,L,42,pid_local_cqr,0.8605263157894737,0.8212598425196851,0.039266473269788604
lgbm_const,L,42,pid_tan_cqr,0.8447368421052631,0.8212598425196851,0.02347699958557803
lgbm_const,L,42,saocp_cqr,0.9,0.8960629921259843,0.003937007874015741
lgbm_const,L,42,sfogd_cqr,0.8578947368421053,0.8094488188976378,0.04844591794446751
lgbm_const,L,42,spci_cqr,0.8315789473684211,0.7779527559055118,0.053626191462909256
lstm,G,42,aci_cqr,0.8842105263157894,0.8322834645669291,0.051927061748860304
lstm,G,42,agaci_cqr,0.8710526315789474,0.8236220472440945,0.04743058433485292
lstm,G,42,cqr_rolling,0.8921052631578947,0.8472440944881889,0.0448611686697058
lstm,G,42,cqr_static,0.9210526315789473,0.9433070866141732,-0.02225445503522583
lstm,G,42,decay_ocp_cqr,0.9,0.9291338582677166,-0.029133858267716528
lstm,G,42,dtaci_cqr,0.8868421052631579,0.8322834645669291,0.05455864069622873
