model,regime,seed,cp_method,valid_country_share,validity_flag
arma,L,42,aci_cqr,1.0,True
arma,L,42,agaci_cqr,1.0,True
arma,L,42,cqr_rolling,0.9,True
arma,L,42,cqr_static,0.1,False
arma,L,42,decay_ocp_cqr,0.3,False
arma,L,42,dtaci_cqr,1.0,True
arma,L,42,mondrian_cqr,0.8,True
arma,L,42,native,0.4,False
arma,L,42,pid_cqr,0.9,True
arma,L,42,pid_local_cqr,0.9,True
arma,L,42,pid_tan_cqr,0.8,True
arma,L,42,saocp_cqr,0.0,False
arma,L,42,sfogd_cqr,0.7,True
arma,L,42,spci_cqr,0.9,True
arma_monthly,L,42,aci_cqr,1.0,True
arma_monthly,L,42,agaci_cqr,1.0,True
arma_monthly,L,42,cqr_rolling,1.0,True
arma_monthly,L,42,cqr_static,0.2,False
arma_monthly,L,42,decay_ocp_cqr,0.3,False
arma_monthly,L,42,dtaci_cqr,1.0,True
arma_monthly,L,42,mondrian_cqr,0.8,True
arma_monthly,L,42,native,0.4,False
arma_monthly,L,42,pid_cqr,0.9,True
arma_monthly,L,42,pid_local_cqr,0.9,True
arma_monthly,L,42,pid_tan_cqr,0.8,True
arma_monthly,L,42,saocp_cqr,0.0,False
arma_monthly,L,42,sfogd_cqr,0.9,True
arma_monthly,L,42,spci_cqr,1.0,True
lgbm,G,42,aci_cqr,1.0,True
lgbm,G,42,agaci_cqr,1.0,True
lgbm,G,42,cqr_rolling,0.9,True
lgbm,G,42,cqr_static,0.4,False
lgbm,G,42,decay_ocp_cqr,0.7,True
lgbm,G,42,dtaci_cqr,1.0,True
lgbm,G,42,mondrian_cqr,0.6,False
lgbm,G,42,native,0.5,False
lgbm,G,42,pid_cqr,1.0,True
lgbm,G,42,pid_local_cqr,1.0,True
lgbm,G,42,pid_tan_cqr,0.7,True
lgbm,G,42,saocp_cqr,0.3,False
lgbm,G,42,sfogd_cqr,0.9,True
lgbm,G,42,spci_cqr,1.0,True
lgbm,GI,42,aci_cqr,1.0,True
lgbm,GI,42,agaci_cqr,1.0,True
lgbm,GI,42,cqr_rolling,1.0,True
lgbm,GI,42,cqr_static,0.6,False
lgbm,GI,42,decay_ocp_cqr,0.9,True
lgbm,GI,42,dtaci_cqr,1.0,True
lgbm,GI,42,mondrian_cqr,0.8,True
lgbm,GI,42,native,0.7,True
lgbm,GI,42,pid_cqr,1.0,True
lgbm,GI,42,pid_local_cqr,1.0,True
lgbm,GI,42,pid_tan_cqr,0.6,False
lgbm,GI,42,saocp_cqr,0.2,False
lgbm,GI,42,sfogd_cqr,0.9,True
lgbm,GI,42,spci_cqr,1.0,True
lgbm,L,42,aci_cqr,1.0,True
lgbm,L,42,agaci_cqr,1.0,True
lgbm,L,42,cqr_rolling,0.9,True
lgbm,L,42,cqr_static,0.3,False
lgbm,L,42,decay_ocp_cqr,0.6,False
lgbm,L,42,dtaci_cqr,1.0,True
lgbm,L,42,mondrian_cqr,0.6,False
lgbm,L,42,native,0.7,True
lgbm,L,42,pid_cqr,1.0,True
lgbm,L,42,pid_local_cqr,1.0,True
lgbm,L,42,pid_tan_cqr,0.4,False
lgbm,L,42,saocp_cqr,0.3,False
lgbm,L,42,sfogd_cqr,1.0,True
lgbm,L,42,spci_cqr,1.0,True
lgbm_const,G,42,aci_cqr,1.0,True
lgbm_const,G,42,agaci_cqr,1.0,True
lgbm_const,G,42,cqr_rolling,1.0,True
lgbm_const,G,42,cqr_static,0.4,False
lgbm_const,G,42,decay_ocp_cqr,0.6,False
lgbm_const,G,42,dtaci_cqr,1.0,True
lgbm_const,G,42,mondrian_cqr,0.7,True
lgbm_const,G,42,native,0.5,False
lgbm_const,G,42,pid_cqr,1.0,True
lgbm_const,G,42,pid_local_cqr,1.0,True
lgbm_const,G,42,pid_tan_cqr,1.0,True
lgbm_const,G,42,saocp_cqr,0.3,False
lgbm_const,G,42,sfogd_cqr,1.0,True
lgbm_const,G,42,spci_cqr,0.9,True
lgbm_const,L,42,aci_cqr,1.0,True
lgbm_const,L,42,agaci_cqr,1.0,True
lgbm_const,L,42,cqr_rolling,0.9,True
lgbm_const,L,42,cqr_static,0.1,False
lgbm_const,L,42,decay_ocp_cqr,0.5,False
lgbm_const,L,42,dtaci_cqr,1.0,True
lgbm_const,L,42,mondrian_cqr,0.7,True
lgbm_const,L,42,native,0.5,False
lgbm_const,L,42,pid_cqr,1.0,True
lgbm_const,L,42,pid_local_cqr,1.0,True
lgbm_const,L,42,pid_tan_cqr,0.5,False
lgbm_const,L,42,saocp_cqr,0.5,False
lgbm_const,L,42,sfogd_cqr,1.0,True
lgbm_const,L,42,spci_cqr,1.0,True
lstm,G,42,aci_cqr,0.9,True
lstm,G,42,agaci_cqr,0.8,True
lstm,G,42,cqr_rolling,0.5,False
lstm,G,42,cqr_static,0.0,False
lstm,G,42,decay_ocp_cqr,0.1,False
lstm,G,42,dtaci_cqr,0.9,True
lstm,G,42,mondrian_cqr,0.3,False
lstm,G,42,native,0.2,False
lstm,G,42,pid_cqr,1.0,True
lstm,G,42,pid_local_cqr,0.9,True
lstm,G,42,pid_tan_cqr,0.2,False
lstm,G,42,saocp_cqr,0.0,False
lstm,G,42,sfogd_cqr,0.9,True
lstm,G,42,spci_cqr,1.0,True
lstm,G,43,aci_cqr,0.8,True
lstm,G,43,agaci_cqr,1.0,True
lstm,G,43,cqr_rolling,0.9,True
lstm,G,43,cqr_static,0.4,False
lstm,G,43,decay_ocp_cqr,0.1,False
lstm,G,43,dtaci_cqr,0.9,True
lstm,G,43,mondrian_cqr,0.8,True
lstm,G,43,native,0.0,False
lstm,G,43,pid_cqr,1.0,True
lstm,G,43,pid_local_cqr,1.0,True
lstm,G,43,pid_tan_cqr,0.2,False
lstm,G,43,saocp_cqr,0.0,False
lstm,G,43,sfogd_cqr,1.0,True
lstm,G,43,spci_cqr,1.0,True
lstm,G,44,aci_cqr,0.7,True
lstm,G,44,agaci_cqr,0.9,True
lstm,G,44,cqr_rolling,0.7,True
lstm,G,44,cqr_static,0.5,False
lstm,G,44,decay_ocp_cqr,0.4,False
lstm,G,44,dtaci_cqr,0.9,True
lstm,G,44,mondrian_cqr,0.6,False
lstm,G,44,native,0.1,False
lstm,G,44,pid_cqr,0.9,True
lstm,G,44,pid_local_cqr,1.0,True
lstm,G,44,pid_tan_cqr,0.5,False
lstm,G,44,saocp_cqr,0.6,False
lstm,G,44,sfogd_cqr,0.9,True
lstm,G,44,spci_cqr,1.0,True
lstm,GF,42,aci_cqr,0.9,True
lstm,GF,42,agaci_cqr,0.9,True
lstm,GF,42,cqr_rolling,0.6,False
lstm,GF,42,cqr_static,0.0,False
lstm,GF,42,decay_ocp_cqr,0.1,False
lstm,GF,42,dtaci_cqr,0.9,True
lstm,GF,42,mondrian_cqr,0.7,True
lstm,GF,42,native,0.2,False
lstm,GF,42,pid_cqr,1.0,True
lstm,GF,42,pid_local_cqr,1.0,True
lstm,GF,42,pid_tan_cqr,0.2,False
lstm,GF,42,saocp_cqr,0.0,False
lstm,GF,42,sfogd_cqr,1.0,True
lstm,GF,42,spci_cqr,1.0,True
lstm,GF,43,aci_cqr,0.7,True
lstm,GF,43,agaci_cqr,0.9,True
lstm,GF,43,cqr_rolling,0.8,True
lstm,GF,43,cqr_static,0.5,False
lstm,GF,43,decay_ocp_cqr,0.1,False
lstm,GF,43,dtaci_cqr,0.8,True
lstm,GF,43,mondrian_cqr,0.7,True
lstm,GF,43,native,0.0,False
lstm,GF,43,pid_cqr,1.0,True
lstm,GF,43,pid_local_cqr,1.0,True
lstm,GF,43,pid_tan_cqr,0.2,False
lstm,GF,43,saocp_cqr,0.0,False
lstm,GF,43,sfogd_cqr,1.0,True
lstm,GF,43,spci_cqr,1.0,True
lstm,GF,44,aci_cqr,0.8,True
lstm,GF,44,agaci_cqr,0.9,True
lstm,GF,44,cqr_rolling,0.8,True
lstm,GF,44,cqr_static,0.3,False
lstm,GF,44,decay_ocp_cqr,0.4,False
lstm,GF,44,dtaci_cqr,0.9,True
lstm,GF,44,mondrian_cqr,0.4,False
lstm,GF,44,native,0.1,False
lstm,GF,44,pid_cqr,0.8,True
lstm,GF,44,pid_local_cqr,1.0,True
lstm,GF,44,pid_tan_cqr,0.4,False
lstm,GF,44,saocp_cqr,0.6,False
lstm,GF,44,sfogd_cqr,0.8,True
lstm,GF,44,spci_cqr,1.0,True
lstm,GI,42,aci_cqr,0.8,True
lstm,GI,42,agaci_cqr,0.8,True
lstm,GI,42,cqr_rolling,0.8,True
lstm,GI,42,cqr_static,0.1,False
lstm,GI,42,decay_ocp_cqr,0.1,False
lstm,GI,42,dtaci_cqr,0.9,True
lstm,GI,42,mondrian_cqr,0.5,False
lstm,GI,42,native,0.3,False
lstm,GI,42,pid_cqr,1.0,True
lstm,GI,42,pid_local_cqr,1.0,True
lstm,GI,42,pid_tan_cqr,0.3,False
lstm,GI,42,saocp_cqr,0.0,False
lstm,GI,42,sfogd_cqr,1.0,True
lstm,GI,42,spci_cqr,1.0,True
lstm,GI,43,aci_cqr,0.7,True
lstm,GI,43,agaci_cqr,0.7,True
lstm,GI,43,cqr_rolling,0.7,True
lstm,GI,43,cqr_static,0.2,False
lstm,GI,43,decay_ocp_cqr,0.3,False
lstm,GI,43,dtaci_cqr,0.8,True
lstm,GI,43,mondrian_cqr,0.7,True
lstm,GI,43,native,0.0,False
lstm,GI,43,pid_cqr,1.0,True
lstm,GI,43,pid_local_cqr,1.0,True
lstm,GI,43,pid_tan_cqr,0.4,False
lstm,GI,43,saocp_cqr,0.0,False
lstm,GI,43,sfogd_cqr,1.0,True
lstm,GI,43,spci_cqr,1.0,True
lstm,GI,44,aci_cqr,0.7,True
lstm,GI,44,agaci_cqr,0.9,True
lstm,GI,44,cqr_rolling,0.7,True
lstm,GI,44,cqr_static,0.3,False
lstm,GI,44,decay_ocp_cqr,0.4,False
lstm,GI,44,dtaci_cqr,0.9,True
lstm,GI,44,mondrian_cqr,0.5,False
lstm,GI,44,native,0.1,False
lstm,GI,44,pid_cqr,1.0,True
lstm,GI,44,pid_local_cqr,1.0,True
lstm,GI,44,pid_tan_cqr,0.4,False
lstm,GI,44,saocp_cqr,0.7,True
lstm,GI,44,sfogd_cqr,0.9,True
lstm,GI,44,spci_cqr,0.9,True
lstm,L,42,aci_cqr,0.9,True
lstm,L,42,agaci_cqr,1.0,True
lstm,L,42,cqr_rolling,0.9,True
lstm,L,42,cqr_static,0.3,False
lstm,L,42,decay_ocp_cqr,0.8,True
lstm,L,42,dtaci_cqr,0.9,True
lstm,L,42,mondrian_cqr,0.6,False
lstm,L,42,native,0.4,False
lstm,L,42,pid_cqr,1.0,True
lstm,L,42,pid_local_cqr,0.9,True
lstm,L,42,pid_tan_cqr,0.4,False
lstm,L,42,saocp_cqr,0.1,False
lstm,L,42,sfogd_cqr,0.8,True
lstm,L,42,spci_cqr,0.9,True
lstm,L,43,aci_cqr,0.9,True
lstm,L,43,agaci_cqr,1.0,True
lstm,L,43,cqr_rolling,0.9,True
lstm,L,43,cqr_static,0.3,False
lstm,L,43,decay_ocp_cqr,0.8,True
lstm,L,43,dtaci_cqr,1.0,True
lstm,L,43,mondrian_cqr,0.7,True
lstm,L,43,native,0.6,False
lstm,L,43,pid_cqr,1.0,True
lstm,L,43,pid_local_cqr,0.9,True
lstm,L,43,pid_tan_cqr,0.6,False
lstm,L,43,saocp_cqr,0.1,False
lstm,L,43,sfogd_cqr,0.7,True
lstm,L,43,spci_cqr,1.0,True
lstm,L,44,aci_cqr,0.9,True
lstm,L,44,agaci_cqr,0.9,True
lstm,L,44,cqr_rolling,1.0,True
lstm,L,44,cqr_static,0.7,True
lstm,L,44,decay_ocp_cqr,0.9,True
lstm,L,44,dtaci_cqr,1.0,True
lstm,L,44,mondrian_cqr,0.8,True
lstm,L,44,native,0.5,False
lstm,L,44,pid_cqr,0.9,True
lstm,L,44,pid_local_cqr,0.9,True
lstm,L,44,pid_tan_cqr,0.6,False
lstm,L,44,saocp_cqr,0.2,False
lstm,L,44,sfogd_cqr,0.9,True
lstm,L,44,spci_cqr,1.0,True
lstm_const,G,42,aci_cqr,1.0,True
lstm_const,G,42,agaci_cqr,1.0,True
lstm_const,G,42,cqr_rolling,0.9,True
lstm_const,G,42,cqr_static,0.2,False
lstm_const,G,42,decay_ocp_cqr,0.3,False
lstm_const,G,42,dtaci_cqr,1.0,True
lstm_const,G,42,mondrian_cqr,0.8,True
lstm_const,G,42,native,0.3,False
lstm_const,G,42,pid_cqr,1.0,True
lstm_const,G,42,pid_local_cqr,1.0,True
lstm_const,G,42,pid_tan_cqr,0.5,False
lstm_const,G,42,saocp_cqr,0.2,False
lstm_const,G,42,sfogd_cqr,1.0,True
lstm_const,G,42,spci_cqr,0.9,True
lstm_const,G,43,aci_cqr,1.0,True
lstm_const,G,43,agaci_cqr,1.0,True
lstm_const,G,43,cqr_rolling,0.9,True
lstm_const,G,43,cqr_static,0.1,False
lstm_const,G,43,decay_ocp_cqr,0.3,False
lstm_const,G,43,dtaci_cqr,1.0,True
lstm_const,G,43,mondrian_cqr,0.8,True
lstm_const,G,43,native,0.3,False
lstm_const,G,43,pid_cqr,0.9,True
lstm_const,G,43,pid_local_cqr,0.9,True
lstm_const,G,43,pid_tan_cqr,0.7,True
lstm_const,G,43,saocp_cqr,0.0,False
lstm_const,G,43,sfogd_cqr,0.9,True
lstm_const,G,43,spci_cqr,0.9,True
lstm_const,G,44,aci_cqr,1.0,True
lstm_const,G,44,agaci_cqr,1.0,True
lstm_const,G,44,cqr_rolling,0.9,True
lstm_const,G,44,cqr_static,0.2,False
lstm_const,G,44,decay_ocp_cqr,0.4,False
lstm_const,G,44,dtaci_cqr,1.0,True
lstm_const,G,44,mondrian_cqr,0.8,True
lstm_const,G,44,native,0.3,False
lstm_const,G,44,pid_cqr,1.0,True
lstm_const,G,44,pid_local_cqr,0.9,True
lstm_const,G,44,pid_tan_cqr,0.7,True
lstm_const,G,44,saocp_cqr,0.1,False
lstm_const,G,44,sfogd_cqr,0.8,True
lstm_const,G,44,spci_cqr,0.8,True
lstm_const,GF,42,aci_cqr,1.0,True
lstm_const,GF,42,agaci_cqr,1.0,True
lstm_const,GF,42,cqr_rolling,0.9,True
lstm_const,GF,42,cqr_static,0.1,False
lstm_const,GF,42,decay_ocp_cqr,0.3,False
lstm_const,GF,42,dtaci_cqr,1.0,True
lstm_const,GF,42,mondrian_cqr,0.6,False
lstm_const,GF,42,native,0.3,False
lstm_const,GF,42,pid_cqr,1.0,True
lstm_const,GF,42,pid_local_cqr,1.0,True
lstm_const,GF,42,pid_tan_cqr,0.5,False
lstm_const,GF,42,saocp_cqr,0.1,False
lstm_const,GF,42,sfogd_cqr,0.9,True
lstm_const,GF,42,spci_cqr,1.0,True
lstm_const,GF,43,aci_cqr,1.0,True
lstm_const,GF,43,agaci_cqr,1.0,True
lstm_const,GF,43,cqr_rolling,0.9,True
lstm_const,GF,43,cqr_static,0.3,False
lstm_const,GF,43,decay_ocp_cqr,0.4,False
lstm_const,GF,43,dtaci_cqr,1.0,True
lstm_const,GF,43,mondrian_cqr,1.0,True
lstm_const,GF,43,native,0.3,False
lstm_const,GF,43,pid_cqr,1.0,True
lstm_const,GF,43,pid_local_cqr,0.9,True
lstm_const,GF,43,pid_tan_cqr,0.6,False
lstm_const,GF,43,saocp_cqr,0.1,False
lstm_const,GF,43,sfogd_cqr,0.9,True
lstm_const,GF,43,spci_cqr,0.9,True
lstm_const,GF,44,aci_cqr,1.0,True
lstm_const,GF,44,agaci_cqr,1.0,True
lstm_const,GF,44,cqr_rolling,0.9,True
lstm_const,GF,44,cqr_static,0.4,False
